BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_cafe_500_meters,num_tourist_attraction_1000_meters
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,1,4764,37,C0,5315 CLARENDON ROAD,11203.0,3.0,0.0,3.0,1740.0,2641.0,1970.0,1,C0,730000,2019-03-27,brooklyn,5315 CLARENDON ROAD NYC,40.644929,-73.92609909999999,7,3,1
4,ROSEDALE,01 ONE FAMILY DWELLINGS,1,13544,34,A1,24126 NEWHALL AVENUE,11422.0,1.0,0.0,1.0,3000.0,1498.0,1920.0,1,A1,410000,2019-05-13,queens,24126 NEWHALL AVENUE NYC,40.65852,-73.741435,1,0,1
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5772,65,A1,169-23 25TH AVENUE,11357.0,1.0,0.0,1.0,4000.0,1399.0,1940.0,1,A1,920000,2019-12-23,queens,169-23 25TH AVENUE NYC,40.774362,-73.794489,5,2,1
5,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS,1,231,12,A1,15 MANOR ROAD,10310.0,1.0,0.0,1.0,2800.0,1182.0,1935.0,1,A1,575000,2019-09-19,statenisland,15 MANOR ROAD NYC,40.6278028,-74.1250627,3,0,1
3,BERGEN BEACH,02 TWO FAMILY DWELLINGS,1,8359,20,B9,1239 EAST 72ND STREET,11234.0,2.0,0.0,2.0,2179.0,3191.0,1970.0,1,B9,900000,2019-08-14,brooklyn,1239 EAST 72ND STREET NYC,40.625998,-73.913095,4,1,0
5,PORT RICHMOND,01 ONE FAMILY DWELLINGS,1,1029,3,A1,3 PALMER AVENUE,10302.0,1.0,0.0,1.0,2500.0,1158.0,1940.0,1,A1,410000,2019-05-13,statenisland,3 PALMER AVENUE NYC,40.63080770000001,-74.13171500000001,3,0,1
4,JAMAICA,01 ONE FAMILY DWELLINGS,1,9804,36,A1,170-12 90TH AVENUE,11432.0,1.0,0.0,1.0,2500.0,1704.0,1920.0,1,A1,750000,2019-10-04,queens,170-12 90TH AVENUE NYC,40.708669,-73.79003,10,5,3
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,3983,28,B1,304 ASHFORD ST,11207.0,2.0,0.0,2.0,945.0,1612.0,1901.0,1,B1,667085,2019-07-12,brooklyn,304 ASHFORD ST NYC,40.674987,-73.885605,5,3,0
3,MIDWOOD,03 THREE FAMILY DWELLINGS,1,6715,21,C0,1038 EAST 14TH STREET,11230.0,3.0,0.0,3.0,3333.0,3089.0,1910.0,1,C0,725000,2019-12-12,brooklyn,1038 EAST 14TH STREET NYC,40.6241089,-73.96236390000001,6,3,1
4,COLLEGE POINT,02 TWO FAMILY DWELLINGS,1,4130,46,B2,124-07 20TH AVENUE,11356.0,2.0,0.0,2.0,1157.0,1600.0,1925.0,1,B2,600000,2019-09-13,queens,124-07 20TH AVENUE NYC,40.7818353,-73.8437771,7,5,3
