BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,lat,lng
3,240,34,8,2298,1007,116,11211.0,0.0,1.0,1.0,0.0,0.0,2006.0,4,116,885000,2019-06-20,40.7195753,-73.9550215
4,84,9,4,4410,1303,107,11354.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,107,369096,2019-04-25,40.7681985,-73.83081179999999
4,207,1,0,10133,146,10,11433.0,2.0,0.0,2.0,2102.0,2108.0,1993.0,1,10,350000,2019-11-22,40.69482199999999,-73.798014
5,178,0,0,7702,313,5,10309.0,1.0,0.0,1.0,1666.0,1330.0,2002.0,1,5,499000,2019-06-26,40.5232233,-74.2151049
4,189,12,7,3431,1007,106,11385.0,1.0,0.0,1.0,0.0,0.0,1930.0,2,106,860000,2019-03-25,40.705934,-73.91197199999999
4,60,0,0,8288,2,5,11362.0,1.0,0.0,1.0,3096.0,1520.0,1970.0,1,5,830000,2019-04-15,40.7528131,-73.73924579999999
3,14,10,4,2000,1042,109,11216.0,1.0,0.0,1.0,0.0,0.0,2003.0,2,109,529000,2019-06-05,40.6813996,-73.9537521
3,182,10,4,1129,1219,109,11238.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,1891241,2019-04-08,40.6807331,-73.9681386
4,52,6,5,1959,38,18,11368.0,6.0,0.0,6.0,2000.0,4100.0,1990.0,2,15,1087172,2019-06-28,40.73901499999999,-73.853717
4,189,1,0,3591,23,9,11385.0,2.0,0.0,2.0,1948.0,3276.0,1915.0,1,9,950000,2019-08-12,40.6143738,-73.97654519999999
2,127,7,4,3248,131,22,10468.0,19.0,0.0,19.0,4464.0,21840.0,1927.0,2,21,3680000,2019-08-16,40.8695211,-73.9014547
4,15,0,0,4556,36,1,11357.0,1.0,0.0,1.0,3600.0,1713.0,1925.0,1,1,858000,2019-11-12,40.792387,-73.80412
5,138,0,0,701,68,5,10314.0,1.0,0.0,1.0,2401.0,1434.0,2014.0,1,5,688888,2019-08-09,40.604552,-74.1199357
4,48,1,0,4037,12,10,11356.0,2.0,0.0,2.0,4000.0,1688.0,1930.0,1,10,830000,2019-08-07,40.786802,-73.851101
4,121,3,1,9882,1062,108,11432.0,1.0,0.0,1.0,0.0,0.0,1989.0,1,108,460000,2019-05-16,40.713598,-73.7897595
4,215,0,0,180,68,5,11377.0,1.0,0.0,1.0,1900.0,1580.0,1945.0,1,5,914000,2019-12-20,40.73626,-73.923231
4,185,10,4,2099,1119,109,11374.0,1.0,0.0,1.0,0.0,0.0,2008.0,2,109,820000,2019-04-11,40.7318529,-73.85702210000001
3,201,21,8,8809,26,42,11235.0,0.0,1.0,1.0,4298.0,3755.0,1951.0,4,41,1030000,2019-05-16,40.5833665,-73.9596462
3,93,2,0,997,55,13,11215.0,3.0,0.0,3.0,1775.0,2160.0,1899.0,1,13,2300000,2019-04-12,40.6713841,-73.988737
4,244,1,0,8965,6,12,11421.0,2.0,0.0,2.0,2500.0,2166.0,1910.0,1,12,750000,2019-01-16,40.688602,-73.860354
2,41,3,1,5643,1106,108,10464.0,1.0,0.0,1.0,0.0,0.0,2016.0,1,108,629279,2019-05-17,40.847401,-73.7834402
3,55,9,4,1190,1021,109,11225.0,1.0,0.0,1.0,0.0,0.0,1930.0,2,107,540000,2019-10-24,40.6672951,-73.9610757
4,203,0,0,12186,19,5,11434.0,1.0,0.0,1.0,1600.0,1152.0,1955.0,1,5,440000,2019-01-25,40.686955,-73.79162099999999
2,28,1,0,4535,68,9,10469.0,2.0,0.0,2.0,3100.0,2035.0,1955.0,1,9,610000,2019-08-28,40.866286,-73.840977
1,147,10,4,1040,1179,109,10019.0,1.0,0.0,1.0,0.0,0.0,1989.0,2,109,535000,2019-10-02,40.7628821,-73.9884916
4,208,0,0,11595,61,1,11420.0,1.0,0.0,1.0,1888.0,1264.0,1920.0,1,1,509000,2019-11-13,40.680633,-73.825902
5,38,0,0,377,180,1,10314.0,1.0,0.0,1.0,4000.0,1650.0,1935.0,1,1,668000,2019-11-09,40.6150107,-74.1291114
3,240,10,4,2324,1214,109,11249.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,795000,2019-09-19,40.7205817,-73.9623624
4,24,0,0,9710,73,8,11435.0,1.0,0.0,1.0,2800.0,1093.0,1910.0,1,8,530000,2019-05-06,40.708446,-73.81429299999999
