BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,FINAL_ADDRESS
5,49,0,0,2887,6,1,10304.0,1.0,0.0,1.0,2500.0,1600.0,2009.0,1,1,580000,2019-04-29,322 BRITTON AVENUE NYC
3,77,0,0,4909,4,1,11203.0,1.0,0.0,1.0,2000.0,1288.0,1920.0,1,1,650000,2019-01-30,4110 SNYDER AVENUE NYC
4,171,1,0,9153,21,11,11417.0,2.0,0.0,2.0,2500.0,1292.0,1925.0,1,11,662000,2019-03-21,105-34 89 STREET NYC
5,162,0,0,4363,90,5,10306.0,1.0,0.0,1.0,2800.0,1900.0,1965.0,1,5,572000,2019-01-29,75 EAST BROADWAY NYC
3,46,10,4,295,1210,109,11201.0,1.0,0.0,1.0,0.0,0.0,1995.0,2,109,2650000,2019-04-17,"100 AMITY STREET, 10 NYC"
1,146,33,8,1360,1008,115,10017.0,0.0,1.0,1.0,0.0,0.0,1967.0,4,115,13928700,2019-10-31,"866 UNITED NATIONS PLAZA, 222 NYC"
4,211,0,0,12287,104,11,11434.0,2.0,0.0,2.0,4000.0,2396.0,1945.0,1,2,949000,2019-09-27,133-19 160TH ST NYC
3,19,6,5,6225,74,15,11214.0,6.0,0.0,6.0,2500.0,5400.0,1931.0,2,15,1600000,2019-04-22,1675 76TH STREET NYC
4,52,10,4,1779,1080,109,11368.0,1.0,0.0,1.0,0.0,0.0,2005.0,2,109,515000,2019-10-28,"38-11 108TH STREET, 7C NYC"
3,77,0,0,5008,1,1,11210.0,1.0,0.0,1.0,4400.0,3615.0,1920.0,1,1,750000,2019-08-16,3321 GLENWOOD RD NYC
1,102,10,4,607,1224,109,10011.0,1.0,0.0,1.0,0.0,0.0,1941.0,2,109,4000000,2019-07-25,"130 WEST 12TH STREET, 7C NYC"
5,70,0,0,5357,27,2,10312.0,1.0,0.0,1.0,4000.0,1925.0,1965.0,1,2,715000,2019-06-13,82 SEIDMAN AVENUE NYC
3,10,2,0,5841,57,13,11220.0,3.0,0.0,3.0,1620.0,2400.0,1915.0,1,13,1503000,2019-05-31,227 67TH STREET NYC
3,30,29,8,3612,32,84,11212.0,2.0,1.0,3.0,2000.0,3720.0,1930.0,4,84,785000,2019-07-23,134A NEWPORT STREET NYC
2,234,2,0,3969,17,13,10462.0,3.0,0.0,3.0,6250.0,3356.0,1899.0,1,13,950000,2019-07-12,1416 GLOVER STREET NYC
3,169,0,0,7104,51,4,11223.0,1.0,0.0,1.0,3104.0,5213.0,2018.0,1,4,700000,2019-06-04,353 AVENUE T NYC
4,207,0,0,12164,7,1,11433.0,1.0,0.0,1.0,3188.0,1264.0,1925.0,1,1,252000,2019-02-22,110-39 160TH STREET NYC
5,138,0,0,761,33,0,10314.0,1.0,0.0,1.0,4840.0,1170.0,1945.0,1,0,645000,2019-08-12,224 GANSEVOORT BOULEVARD NYC
3,23,1,0,5472,20,9,11204.0,2.0,0.0,2.0,3906.0,4900.0,1998.0,1,9,3275000,2019-09-19,1630 52ND STREET NYC
3,23,3,1,5710,1303,108,11219.0,1.0,0.0,1.0,0.0,0.0,2012.0,1,108,735000,2019-07-15,"1154 59TH STREET, 3 NYC"
4,186,1,0,9546,67,11,11419.0,2.0,0.0,2.0,2420.0,1248.0,1930.0,1,11,10000,2019-02-19,107-37 108TH STREET NYC
4,244,1,0,8947,2,126,11421.0,2.0,1.0,3.0,1674.0,2120.0,1930.0,1,126,1500000,2019-02-14,76-04 ROCKAWAY BOULEVARD NYC
2,152,11,5,2963,4,128,10459.0,4.0,1.0,5.0,1577.0,3600.0,1925.0,2,128,505000,2019-02-06,1408 PROSPECT AVENUE NYC
5,38,0,0,721,17,5,10314.0,1.0,0.0,1.0,0.0,0.0,2018.0,1,5,702593,2019-05-10,118 CLERMONT PLACE NYC
4,207,0,0,10195,4,1,11433.0,1.0,0.0,1.0,3640.0,1544.0,1930.0,1,1,462133,2019-07-12,167-08 110 AVENUE NYC
5,144,0,0,3800,7,5,10306.0,1.0,0.0,1.0,2000.0,1200.0,2004.0,1,5,545000,2019-12-02,7 HEMPSTEAD AVENUE NYC
5,163,0,0,2118,101,5,10314.0,1.0,0.0,1.0,2200.0,1232.0,1970.0,1,5,455000,2019-12-23,48 MULBERRY AVENUE NYC
5,246,0,0,7094,52,5,10309.0,1.0,0.0,1.0,4427.0,2190.0,2017.0,1,5,762669,2019-12-10,64 BERKSHIRE LANE NYC
1,42,10,4,174,1530,109,10013.0,1.0,0.0,1.0,0.0,0.0,2018.0,2,109,2628200,2019-10-11,"91 LEONARD STREET, 6A NYC"
2,11,0,0,4881,63,2,10469.0,1.0,0.0,1.0,2500.0,686.0,1915.0,1,2,300000,2019-06-13,3331 BAYCHESTER AVENUE NYC
5,98,3,1,4645,1076,108,10306.0,1.0,0.0,1.0,0.0,0.0,1981.0,1,108,365000,2019-08-20,"222 TIMBER RIDGE DRIVE, 7222 NYC"
4,208,2,0,11601,63,13,11420.0,3.0,0.0,3.0,2200.0,2770.0,1945.0,1,13,700000,2019-09-26,109-19 120TH STREET NYC
1,227,10,4,1226,1208,109,10025.0,1.0,0.0,1.0,0.0,0.0,1971.0,2,109,1122000,2019-05-09,"169 WEST 95TH STREET, 15D NYC"
1,68,10,4,441,1229,109,10009.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,874500,2019-03-29,"421 EAST 13TH STREET, 3F NYC"
3,173,12,7,1053,1505,106,11215.0,1.0,0.0,1.0,0.0,0.0,2008.0,2,106,658000,2019-06-21,"226 16TH STREET, 5 NYC"
3,23,2,0,5717,26,13,11219.0,3.0,0.0,3.0,2000.0,3300.0,1901.0,1,13,10,2019-07-17,1146 60TH STREET NYC
2,53,0,0,5464,5,5,10465.0,1.0,0.0,1.0,1458.0,1116.0,1950.0,1,5,556000,2019-02-14,3234 LAYTON AVENUE NYC
4,84,10,4,5066,1770,109,11354.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,10,2019-10-18,"131-05 40TH ROAD, 12A NYC"
4,236,11,5,4678,17,130,11357.0,3.0,2.0,5.0,3283.0,4596.0,1930.0,2,130,5250750,2019-12-12,150-16 14TH AVENUE NYC
3,19,6,4,6238,39,14,11214.0,38.0,0.0,38.0,10000.0,32000.0,1927.0,2,14,8000000,2019-02-12,1865 77TH STREET NYC
3,20,0,0,8415,25,8,11234.0,1.0,0.0,1.0,2000.0,1092.0,1925.0,1,8,553000,2019-07-01,2037 EAST 74TH STREET NYC
1,68,10,4,441,1258,109,10009.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,965000,2019-12-24,"421 EAST 13TH STREET, 5G NYC"
3,44,6,5,1952,12,16,11238.0,4.0,0.0,4.0,1800.0,1440.0,1905.0,2,16,17500,2019-04-25,68A CLIFTON PL NYC
1,192,10,4,1373,1707,109,10044.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,1170000,2019-06-17,"415 MAIN STREET, 15-H NYC"
3,139,0,0,7886,42,2,11234.0,1.0,0.0,1.0,4000.0,1823.0,1925.0,1,2,999000,2019-12-05,3916 QUENTIN ROAD NYC
4,12,10,4,5893,1867,109,11360.0,1.0,0.0,1.0,0.0,0.0,1972.0,2,109,257500,2019-03-08,"2 BAY CLUB DRIVE, 15Z2 NYC"
5,246,1,0,7014,218,10,10309.0,2.0,0.0,2.0,5360.0,2448.0,1980.0,1,10,870000,2019-06-28,31 MARVIN ROAD NYC
4,111,0,0,10482,18,1,11423.0,1.0,0.0,1.0,2400.0,1264.0,1920.0,1,1,520000,2019-11-13,90-31 199TH STREET NYC
1,226,10,4,1171,4520,109,10023.0,1.0,0.0,1.0,0.0,0.0,2014.0,2,109,4765019,2019-04-29,"1 WEST END AVENUE, 20A NYC"
5,140,0,0,1172,245,1,10303.0,1.0,0.0,1.0,4847.0,1088.0,1920.0,1,1,341000,2019-06-06,239 DIXON AVENUE NYC
4,84,9,4,4972,1333,107,11351.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,107,1186456,2019-08-27,"133-27 39TH AVENUE, 5M NYC"
5,195,1,0,7032,72,12,10309.0,2.0,0.0,2.0,2306.0,2424.0,1999.0,1,12,595000,2019-10-24,47 HEMLOCK STREET NYC
1,224,10,4,1540,1347,109,10128.0,1.0,0.0,1.0,0.0,0.0,2016.0,2,109,4119380,2019-08-05,"200 EAST 95TH STREET, 8C NYC"
